case_control|word|description|  //* forces case sensitive,  ~ separates variations of words ex: "video ~video,~video." will not match VideoRay
*|PAM|(Protocol Adapter Multiplexer) A programmable interface device|
|Pitch|The nose-up or nose-down attitude or motion of the ROV|
|Positive|A state of buoyancy in which the ROV will float and a type of tether|
|PPT|(Professional Performance Tether) A type of tether|
|Pressure Sensor|A device to measure pressure - used to calculate ROV depth|
|Propeller|ROV component with pitched blades that generate thrust when rotated|
|RCA|Connector style commonly used for composite analog video|
|Record|Command to initiate video capture to a storage media|
|Remotely Operated Vehicle|The underwater vehicle|
|RJ-45|A connector Style with 8 contacts commonly used for Ethernet connections|
|Roll ~Roll,~Roll.|The left or right leaning attitude or motion of the ROV|
*|ROV|See Remotely Operated Vehicle|
|ROV Health|An instrument that provides feedback on the status of several critical ROV systems|
|RS-485|Data Protocol|
|Safety|State of, or application of, safe practices|
|SDK|(Software Developer's Kit) A program and a set of software libraries and utilities to aid custom program development|
|Sensitivity|The amount of output based on a specific level of input, particularly for the joystick|
|Sensor|An instrument for measuring a specific property of an object or the environment|
|Service Bay|VideoRay Cockpit interface that provides diagnostic information and checklists|
|Settings|The values of specific controls or parameters, or the ability to manage these|
|Skid|The base of the ROV and often used to mount accessories|
|Software Developer's Kit|See SDK|
|Snapshot|A still image captured from the video image|
|Spare Pair|Extra pair of conductors in the tether - See also APIC|
|Strain Relief|An ROV and tether component that reduces the load on tether connections|
|Sun Shade|Device used to shade the display for better visibility in direct sunlight|
|Surge|The forward and backward motion of the ROV|
|TDS|(Tether Deployment System) A reel for storing tether|
|Temperature|Qualitative measure of hot or cold|
|Termination Block|ROV component that connects the ROV to the tether|
|Tether|The cable that connects the ROV to the control panel|
|Tether Deployment System|See TDS
|Text Overlay|Ability to superimpose text over a video image|
|Third Axis|Rotational motion of the joystick - can be used as an alternate control method of the joystick|
|Thruster|ROV propulsion system including a motor and propeller|
|Thruster Cartridge Seal|Seals the thruster shaft from water intrusion|
|Thruster Nozzle|Shroud around the propeller|
|Tilt Arm|Control panel component to adjust the angle of the optional second monitor|
*|TINA|(Tether Interface Node Adapter) A device that allows accessories to be connected directly to the tether without the ROV|
|Transparent|Ability to see through|
|Turbo|High power control mode|
|Turns Indicator|An instrument that keeps track of the number of rotations of the ROV about its vertical axis and provides information on which direction to turn to unwind the tether|
|Umbilical|See also Tether|
|Upgrade|A newer version or the process of installing a newer version|
|USB|(Universal Serial Bus) Data protocol and connector style|
|User Settings|VideoRay Cockpit interface to access operating parameters|
|VGA|Video Graphics Array) Video format and connector style|
|Video ~Video,~Video.|In VideoRay context, the image from the ROV's camera or the ability to record this image|
|Video Encoder|Defines a method of storing a video image within a file format|
|Video Window|Display component that displays the video image from the camera|
|VideoRay Cockpit|VideoRay ROV control program|
|VideoRay Data Folder|Destination folder for video recordings and snapshots|
|VideoRay Update|Software program to upload new firmware to the ROV and other devices|
|Virtual COM Port|A software feature that allows two applications on the same computer to communicate without requiring physical ports|
|Visibility|Measure of the clarity of water|
*|WDR|See Wide Dynamic Range|
|Whip|A short length of tether attached to the ROV or control panel|
|White Balance|Camera feature to color correct images from the camera|
|Wide Dynamic Range|Camera feature to improve image in high contrast lighting situations|
|Yaw|The left or right turning attitude or motion of the ROV|
|Zoom|Camera image magnification|
